Description,Price,Rating,ReviewCount,url
"Bestar Logan U or L-Shaped Executive Office Desk with Pedestal and Hutch, 66W, White Chocolate",$989.99 ,4.0 out of 5 stars,118,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo0Mjg0NTY1NTAyOTQ3MDczOjE2NjExMjYxNTg6c3BfbXRmOjIwMDA2OTc0NzU0OTM5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2Fbestar-U-Shape-Desk%2Fdp%2FB079RMDKZL%2Fref%3Dsr_1_24_sspa%3Fcrid%3DKQWQ1T01TXQ2%26keywords%3Doffice%2Bdesk%26qid%3D1661126158%26sprefix%3Doffice%2Bdesk%252Caps%252C79%26sr%3D8-24-spons%26psc%3D1
"Computer Desk, Computer Desk with Shelves, 47 inches Office Desk with 2 Storage Shelves, Large Space Home Office Desks & Workstations, Modern Desk Writing Desk for Home Office S7-KS-LD-013-US",$89.99 ,3.5 out of 5 stars,9,https://www.amazon.ca/Computer-Shelves-Storage-Workstations-S7-KS-LD-013-US/dp/B09JNTHGFK/ref=sr_1_25?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-25
"MotionGrey - Electric Motor Height Adjustable Standing Desk, Ergonomic Stand Up Desk, Adjustable Computer Sit Stand Desk Stand - Black Frame Single Motor with Laminated Wood Pattern Table Top - (TABLETOP INCLUDED)",$277.99 ,4.5 out of 5 stars,139,https://www.amazon.ca/MotionGrey-Electric-Adjustable-Ergonomic-Laminated/dp/B09KQYKM8V/ref=sr_1_26?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-26
"SogesPower PC Desk Office Desk Workstation Computer Desk for Home Office Writing Table,SPYL-AC3-80WW(White，31.5 inch",$89.00 ,4.6 out of 5 stars,117,https://www.amazon.ca/SogesPower-Workstation-Computer-SPYL-AC3-80WW-White%EF%BC%8C31-5/dp/B09YQ8G9JK/ref=sr_1_27?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-27
"soges Computer Desk 55inches PC Desk Office Desk with Shelf Workstation for Home Office Use Writing Table White Oak,Tplus-MO-140-CA",$155.00 ,4.3 out of 5 stars,586,https://www.amazon.ca/Computer-55inches-Workstation-Writing-Tplus-MO-140-CA/dp/B07DRJFPPD/ref=sr_1_28?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-28
"VERMESS Computer Desk with 4 Tiers Shelves, 39 Inch Sturdy Table with Reversible Bookshelf for Home Office, Study Tower Desk for Small Space, Industrial Modern Style, Black+Vintage",$129.99 ,4.2 out of 5 stars,64,https://www.amazon.ca/VERMESS-Computer-Reversible-Bookshelf-Industrial/dp/B0B1YL74L8/ref=sr_1_29?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-29
"Rolanstar Computer Desk with Recessed Power Strip, 55"" Office Desk with 2 Storage Shelves with Corner Protectors, Study Table, Workstation,Business Style, Stable Metal Frame, RTB00D-YE140-1",$159.99 ,4.6 out of 5 stars,"1,837",https://www.amazon.ca/Rolanstar-Computer-Protectors-Workstation-RTB00D-YE140-1/dp/B08CXNF5RK/ref=sr_1_30?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-30
"Rolanstar Computer Desk with 2 Drawers and Power Outlet, 39"" Home Office Writing Desk with Monitor Stand, Workstation Table with Stable Metal Frame, Black",$149.99 ,4.6 out of 5 stars,933,https://www.amazon.ca/Rolanstar-Computer-Drawers-Writing-Workstation/dp/B0936XHHTR/ref=sr_1_31?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-31
"Rolanstar Computer Desk with Storage Shelves 47"", Home Office Desk with 4-Tier Reversible Bookshelf, Rustic Writing Table Workstation, Study Corner Desk for Small Space, Rustic Brown",$149.99 ,4.4 out of 5 stars,"1,355",https://www.amazon.ca/Rolanstar-Storage-Shelves-Writing-Workstation/dp/B08JYCJC68/ref=sr_1_32?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-32
"soges Computer Desk 43.3 inches PC Desk Office Desk with 3 Drawers Workstation for Home Office Use Writing Table,White GCBG1016-N-CA",$195.00 ,4.3 out of 5 stars,29,https://www.amazon.ca/Computer-Drawers-Workstation-Writing-GCBG1016-N-CA/dp/B08H8FYP2P/ref=sr_1_33?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-33
